name,age,size,color,breed
Clxgms,3,50,blue,Ukrainian Ironbelly
Sohe,2,63,red,Antipodean Opaleye
Hjrovytb,7,21,white,Romanian Longhorn
Clmlcpmm,19,14,blue,Ukrainian Ironbelly
Gtp,9,42,black,Hebridean Black
Cisyxwv,13,39,black,Peruvian Vipertooth
Dfdlsutk,0,72,white,Hungarian Horntail
Cvw,4,87,white,Swedish Short-Snout
Hyitone,7,74,black,Norwegian Ridgeback
Xtgbdix,18,39,white,Peruvian Vipertooth
Dsgtcd,3,38,black,Chinese Fireball
Gax,7,73,blue,Swedish Short-Snout
Jjxtksg,8,52,red,Antipodean Opaleye
Vorffsp,2,5,blue,Peruvian Vipertooth
Pmicr,10,83,white,Swedish Short-Snout
Xroo,3,51,white,Norwegian Ridgeback
Awh,3,62,white,Norwegian Ridgeback
Ukthmjvl,12,47,black,Hungarian Horntail
Jxnc,8,74,red,Chinese Fireball
Nfeyv,0,13,white,Chinese Fireball
Xxk,15,80,white,Common Welsh Green
Nagrm,19,8,white,Chinese Fireball
Anfndwm,2,82,white,Common Welsh Green
Qgtsx,5,52,blue,Common Welsh Green
Npkmc,20,100,black,Antipodean Opaleye
Urly,17,28,white,Hebridean Black
Uiguxf,13,76,blue,Antipodean Opaleye
Pvkepqd,3,86,white,Hungarian Horntail
Fytcuc,17,44,black,Swedish Short-Snout
Uhdfxmc,4,72,black,Norwegian Ridgeback
Gaemfe,5,15,black,Hebridean Black
Dvbaqe,3,8,blue,Peruvian Vipertooth
Jou,12,26,white,Hebridean Black
Ywmrica,10,49,blue,Swedish Short-Snout
Odtaseqi,8,44,black,Hungarian Horntail
Xaoetifq,9,18,red,Hungarian Horntail
Oowlrtej,17,6,blue,Swedish Short-Snout
Hppsv,1,32,black,Hungarian Horntail
Khxwa,19,55,white,Common Welsh Green
Kvqemr,0,83,red,Common Welsh Green
Eqtjdw,18,22,black,Peruvian Vipertooth
Qnqk,7,52,red,Hungarian Horntail
Yove,9,70,red,Romanian Longhorn
Xred,13,4,black,Romanian Longhorn
Oytxixqk,18,68,blue,Romanian Longhorn
Ami,1,88,black,Common Welsh Green
Bavsd,20,65,red,Peruvian Vipertooth
Inu,19,97,white,Ukrainian Ironbelly
Ssef,18,86,blue,Common Welsh Green
Afn,5,28,red,Hungarian Horntail
Nbmb,12,92,red,Hebridean Black
Acui,15,36,black,Antipodean Opaleye
Dctbbb,4,93,red,Common Welsh Green
Qigry,7,91,blue,Hebridean Black
Aaqcwd,13,17,black,Antipodean Opaleye
Dku,7,41,black,Hungarian Horntail
Nvsvhwod,0,39,red,Swedish Short-Snout
Hlnv,17,82,black,Common Welsh Green
Olsdn,13,29,black,Norwegian Ridgeback
Bbeesbq,14,16,white,Chinese Fireball
Twes,12,56,black,Peruvian Vipertooth
Wqqvqt,8,50,blue,Hebridean Black
Teeim,3,41,blue,Norwegian Ridgeback
Nqybnm,13,58,white,Antipodean Opaleye
Cpq,5,14,blue,Hebridean Black
Ouwjltrl,15,55,blue,Peruvian Vipertooth
Lwf,20,79,blue,Peruvian Vipertooth
Bwogdmfx,6,12,white,Peruvian Vipertooth
Usggyf,11,17,white,Norwegian Ridgeback
Pxihdow,9,59,blue,Antipodean Opaleye
Vnpmdrha,16,81,black,Antipodean Opaleye
Rdnopwko,6,88,white,Antipodean Opaleye
Jlbidp,0,87,white,Common Welsh Green
Eegpki,18,73,red,Swedish Short-Snout
Gqs,18,86,blue,Common Welsh Green
Icuiexbw,3,17,blue,Peruvian Vipertooth
Lqpb,0,90,red,Antipodean Opaleye
Uoqpkxa,18,38,white,Chinese Fireball
Eekops,15,50,blue,Hebridean Black
Puawkq,9,45,white,Swedish Short-Snout
Yvo,14,40,white,Hungarian Horntail
Tflqqox,13,37,red,Norwegian Ridgeback
Jpkuxgmg,12,69,blue,Hungarian Horntail
Xon,10,38,black,Romanian Longhorn
Kborvuuy,4,11,red,Antipodean Opaleye
Cufrcbva,20,18,blue,Chinese Fireball
Wqpm,2,4,white,Swedish Short-Snout
Ioesrwja,12,26,black,Norwegian Ridgeback
Ckeu,11,81,white,Hebridean Black
Cunu,9,5,black,Hebridean Black
Yjxvvpsa,2,57,black,Norwegian Ridgeback
Lxsev,16,98,white,Common Welsh Green
Thhmmfom,5,95,red,Swedish Short-Snout
Ncoxgps,11,99,blue,Antipodean Opaleye
Fcy,17,66,white,Norwegian Ridgeback
Hwrrv,2,71,blue,Romanian Longhorn
Prowqep,17,12,red,Ukrainian Ironbelly
Fhrft,7,82,black,Hebridean Black
Gqsnb,9,27,red,Antipodean Opaleye
Ijfyernv,3,99,blue,Ukrainian Ironbelly
Awmdhnsh,7,90,white,Romanian Longhorn
Mnuqpn,6,13,black,Antipodean Opaleye
Sfjv,5,62,black,Romanian Longhorn
Gwxwgs,1,79,black,Common Welsh Green
Uuvlhrx,3,11,black,Peruvian Vipertooth
Uqbxe,9,79,blue,Swedish Short-Snout
Whcpkxvo,3,85,white,Peruvian Vipertooth
Itcfo,10,74,blue,Romanian Longhorn
Phnks,14,90,red,Swedish Short-Snout
Wpy,5,80,black,Hungarian Horntail
Qusoau,18,39,red,Hebridean Black
Rmdyy,19,24,black,Hebridean Black
Veirgrvf,1,41,red,Peruvian Vipertooth
Awbn,1,88,red,Common Welsh Green
Plpave,12,35,white,Ukrainian Ironbelly
Avr,16,54,white,Peruvian Vipertooth
Yxi,1,100,blue,Hebridean Black
Ljpjbgrh,12,25,red,Romanian Longhorn
Pdffhbf,18,15,black,Chinese Fireball
Lvu,20,4,white,Antipodean Opaleye
Hhon,9,12,blue,Swedish Short-Snout
Daboiexp,10,44,red,Hungarian Horntail
Bwf,9,19,blue,Norwegian Ridgeback
Akfe,14,4,black,Chinese Fireball
Fwniqa,17,69,white,Chinese Fireball
Unac,7,78,black,Antipodean Opaleye
Igxyvjl,10,98,red,Ukrainian Ironbelly
Eotepl,9,9,blue,Norwegian Ridgeback
Ucqy,10,80,black,Romanian Longhorn
Xbvy,13,14,blue,Hungarian Horntail
Hqdlurrb,3,7,black,Hebridean Black
Uhrboob,0,39,blue,Swedish Short-Snout
Jqfgdm,10,94,blue,Hebridean Black
Oyodviq,2,59,blue,Swedish Short-Snout
Ahn,4,66,blue,Hungarian Horntail
Glibki,6,20,blue,Ukrainian Ironbelly
Owhlq,7,28,red,Antipodean Opaleye
Aknjhtvt,20,51,red,Antipodean Opaleye
Otadu,14,35,black,Norwegian Ridgeback
Hbsti,14,32,red,Peruvian Vipertooth
Yuwf,5,92,black,Antipodean Opaleye
Pcqfd,8,22,white,Romanian Longhorn
Fpvmaupn,18,32,white,Hungarian Horntail
Nusddsem,5,54,black,Chinese Fireball
Trrlp,0,40,blue,Swedish Short-Snout
Dxn,13,28,blue,Norwegian Ridgeback
Aolb,18,41,blue,Hebridean Black
Npekioh,2,55,blue,Hungarian Horntail
Kypm,11,1,blue,Norwegian Ridgeback
Qexj,19,92,black,Swedish Short-Snout
Ekfyocrp,0,60,white,Chinese Fireball
Dmppfn,14,79,black,Swedish Short-Snout
Lwkcfqw,4,20,black,Romanian Longhorn
Blebr,4,29,red,Norwegian Ridgeback
Slt,6,15,black,Ukrainian Ironbelly
Ukuuu,12,51,blue,Ukrainian Ironbelly
Olhmi,17,100,blue,Chinese Fireball
Yheyewm,12,39,black,Ukrainian Ironbelly
Wiq,7,94,blue,Peruvian Vipertooth
Tvknh,20,4,red,Norwegian Ridgeback
Cwhxnnk,9,88,black,Antipodean Opaleye
Qhjk,16,8,white,Swedish Short-Snout
Jwuevl,14,53,white,Hungarian Horntail
Aksyykd,12,42,blue,Common Welsh Green
Gpbs,1,63,white,Swedish Short-Snout
Oovsquv,17,34,black,Norwegian Ridgeback
Mupimwk,15,59,black,Antipodean Opaleye
Gvhtca,15,0,black,Antipodean Opaleye
Pqmdwq,7,60,red,Ukrainian Ironbelly
Utaj,11,48,white,Chinese Fireball
Fypypxib,7,52,black,Hungarian Horntail
Hwh,4,20,black,Hungarian Horntail
Yxf,2,85,black,Chinese Fireball
Wtkgcj,8,62,blue,Romanian Longhorn
Xpkuk,18,38,black,Hungarian Horntail
Jif,10,19,blue,Chinese Fireball
Tses,17,37,white,Peruvian Vipertooth
Wnv,14,21,black,Hungarian Horntail
Yqqmf,5,19,red,Romanian Longhorn
Mgistua,9,91,black,Common Welsh Green
Uxpnc,9,75,white,Norwegian Ridgeback
Hugyqnf,1,59,black,Chinese Fireball
Cjhsr,9,63,black,Ukrainian Ironbelly
Utcq,16,51,red,Swedish Short-Snout
Hqftjb,8,69,white,Ukrainian Ironbelly
Wwkt,10,18,white,Norwegian Ridgeback
Uwx,15,75,black,Common Welsh Green
Wwmyacsg,7,49,blue,Common Welsh Green
Dmvggc,5,0,black,Swedish Short-Snout
Aetyysq,15,47,white,Hungarian Horntail
Xhod,13,4,red,Common Welsh Green
Ccp,10,35,red,Common Welsh Green
Sqvvfn,14,10,red,Peruvian Vipertooth
Vnt,20,74,blue,Peruvian Vipertooth
Wnbapx,3,77,black,Chinese Fireball
Sex,12,47,red,Ukrainian Ironbelly
Qosy,14,82,blue,Hebridean Black
Bhvhdu,9,47,black,Ukrainian Ironbelly
Nkcbx,12,84,black,Peruvian Vipertooth
Rxbyjjy,5,56,white,Romanian Longhorn
Rifgthd,9,83,red,Hebridean Black
Gbywtyo,20,51,black,Chinese Fireball
Jwld,8,89,blue,Ukrainian Ironbelly
Apx,12,48,white,Romanian Longhorn
Bweo,9,6,red,Hebridean Black
Mskyp,2,10,red,Antipodean Opaleye
Srhiwm,10,86,white,Antipodean Opaleye
Aub,12,12,white,Hungarian Horntail
Fwh,3,58,red,Hebridean Black
Qhtynd,18,64,black,Swedish Short-Snout
Yymieme,0,48,red,Antipodean Opaleye
Atyci,14,54,black,Common Welsh Green
Vblvnu,8,1,black,Hebridean Black
Pbqf,9,29,white,Hungarian Horntail
Nxxeyqf,12,72,blue,Norwegian Ridgeback
Qimsje,13,77,black,Chinese Fireball
Nfigyrb,7,16,white,Antipodean Opaleye
Acb,17,16,white,Chinese Fireball
Oyr,2,10,blue,Antipodean Opaleye
Kbh,0,7,black,Swedish Short-Snout
Gokcywq,12,55,white,Antipodean Opaleye
Pffxehp,10,66,blue,Antipodean Opaleye
Huvb,18,93,red,Common Welsh Green
Aifyy,7,44,white,Romanian Longhorn
Xgqcoc,11,72,black,Romanian Longhorn
Lao,3,33,white,Romanian Longhorn
Hirwhhfx,3,57,black,Swedish Short-Snout
Rgbngm,4,55,white,Common Welsh Green
Wbsijvr,18,66,white,Romanian Longhorn
Ddecb,20,99,blue,Peruvian Vipertooth
Kgmruv,3,25,white,Norwegian Ridgeback
Ryhpmnv,8,49,blue,Antipodean Opaleye
Hjj,10,10,red,Ukrainian Ironbelly
Xyffjww,19,61,red,Common Welsh Green
Idr,19,27,blue,Romanian Longhorn
Motdef,12,89,red,Swedish Short-Snout
Ravunb,12,24,black,Antipodean Opaleye
Gotoar,20,100,white,Antipodean Opaleye
Ydqgr,17,58,black,Antipodean Opaleye
Hllc,12,3,white,Common Welsh Green
Htgmkj,20,13,white,Chinese Fireball
Atvty,4,28,blue,Ukrainian Ironbelly
Maecl,7,18,white,Hungarian Horntail
Oha,7,65,black,Hungarian Horntail
Pxconydw,0,99,black,Norwegian Ridgeback
Tsjxusik,2,13,black,Peruvian Vipertooth
Dyhialqn,0,62,white,Ukrainian Ironbelly
Agimgi,18,19,black,Romanian Longhorn
Jko,6,53,red,Romanian Longhorn
Yvkbyl,19,84,blue,Common Welsh Green
Pjwvlvtk,9,98,black,Antipodean Opaleye
Jjccqunc,14,68,black,Chinese Fireball
Orbi,7,74,red,Norwegian Ridgeback
Ikjscj,13,90,black,Hebridean Black
Dhnnu,7,98,red,Peruvian Vipertooth
Juy,10,31,blue,Peruvian Vipertooth
Vkivi,4,65,black,Hungarian Horntail
Psxai,11,91,red,Peruvian Vipertooth
Equ,10,41,black,Chinese Fireball
Vdcdha,5,74,black,Swedish Short-Snout
Wcy,4,44,black,Common Welsh Green
Peno,18,46,blue,Antipodean Opaleye
Tyyox,9,50,red,Swedish Short-Snout
Kdbuimw,13,68,white,Antipodean Opaleye
Oim,0,33,red,Chinese Fireball
Qdjo,11,66,blue,Romanian Longhorn
Oxtdcrr,14,57,white,Swedish Short-Snout
Newdvuqs,12,13,white,Hungarian Horntail
Fbc,16,64,red,Antipodean Opaleye
Humc,10,79,white,Common Welsh Green
Iaabeqrl,0,52,red,Hungarian Horntail
Mhpoiox,4,89,blue,Chinese Fireball
Wvf,13,64,blue,Norwegian Ridgeback
Pju,5,49,blue,Peruvian Vipertooth
Wslk,5,73,red,Romanian Longhorn
Oumsid,16,56,black,Peruvian Vipertooth
Rkk,4,61,red,Antipodean Opaleye
Edekvluw,9,53,white,Hungarian Horntail
Vmvoskgb,9,82,red,Antipodean Opaleye
Srhv,1,96,blue,Romanian Longhorn
Vsekp,11,14,white,Antipodean Opaleye
Ekuhylm,19,65,white,Ukrainian Ironbelly
Cifjlwb,16,3,black,Norwegian Ridgeback
Wvrlgx,9,1,blue,Ukrainian Ironbelly
Flrytfr,18,68,blue,Hebridean Black
Qltqwce,11,22,red,Swedish Short-Snout
Klvjqwsb,8,89,white,Antipodean Opaleye
Rcju,8,25,blue,Peruvian Vipertooth
Qidkq,2,89,white,Peruvian Vipertooth
Sve,4,9,black,Chinese Fireball
Pmrgxhp,5,100,blue,Hebridean Black
Yanepkio,14,4,blue,Peruvian Vipertooth
Nlxsl,5,36,white,Norwegian Ridgeback
Qtwrf,11,64,red,Common Welsh Green
Rdlqxghw,19,85,blue,Common Welsh Green
Qiyoi,2,89,red,Norwegian Ridgeback
Bbkar,2,77,black,Ukrainian Ironbelly
Wuyqrpk,17,2,blue,Antipodean Opaleye
Hfq,2,43,white,Hungarian Horntail
Sqbcmg,1,7,red,Common Welsh Green
Qfts,8,23,black,Common Welsh Green
Fymxjti,8,84,black,Chinese Fireball
Nawil,13,51,black,Ukrainian Ironbelly
Cnu,19,36,black,Romanian Longhorn
Dylays,1,60,blue,Ukrainian Ironbelly
Johsb,0,23,black,Hebridean Black
Iwauc,11,12,red,Hungarian Horntail
Lvs,4,86,red,Ukrainian Ironbelly
Caofyhli,19,45,red,Romanian Longhorn
Tcgeqlw,11,99,blue,Chinese Fireball
Wixlqwvg,2,46,red,Norwegian Ridgeback
Rge,15,60,white,Ukrainian Ironbelly
Icfibj,9,48,black,Romanian Longhorn
Cipofim,13,19,blue,Common Welsh Green
Pdce,8,36,blue,Hebridean Black
Rnufwes,19,33,black,Romanian Longhorn
Pplcmmsk,11,81,white,Swedish Short-Snout
Jpmsgw,12,16,red,Hungarian Horntail
Tqr,13,93,red,Hebridean Black
Bpvexm,6,36,white,Antipodean Opaleye
Vilaedip,6,97,blue,Common Welsh Green
Wrarxadu,10,64,white,Ukrainian Ironbelly
Xklflf,10,55,white,Romanian Longhorn
Xlpoafh,20,49,white,Chinese Fireball
Tck,19,56,black,Common Welsh Green
Cvpydnd,19,6,red,Ukrainian Ironbelly
Vedmxqk,17,12,red,Hebridean Black
Tqxs,15,55,blue,Common Welsh Green
Itspvl,19,100,black,Ukrainian Ironbelly
Pobxq,15,38,blue,Chinese Fireball
Cbpmrhmj,4,72,black,Ukrainian Ironbelly
Wdugte,1,99,blue,Norwegian Ridgeback
Cljhinkd,19,41,red,Swedish Short-Snout
Hppagp,0,60,blue,Antipodean Opaleye
Pjuq,0,20,blue,Antipodean Opaleye
Vnsc,4,61,black,Hebridean Black
Krnx,18,16,black,Antipodean Opaleye
Qrepbitr,9,41,white,Norwegian Ridgeback
Yqrg,2,81,black,Antipodean Opaleye
Ryhmlqx,18,94,blue,Ukrainian Ironbelly
Qyyl,17,68,blue,Common Welsh Green
Pva,5,0,blue,Romanian Longhorn
Jwbuqpv,0,29,red,Norwegian Ridgeback
Emp,6,28,blue,Romanian Longhorn
Bmciya,16,65,blue,Antipodean Opaleye
Rry,5,58,white,Ukrainian Ironbelly
Quglvbu,3,71,blue,Hungarian Horntail
Ssskqifl,6,59,red,Romanian Longhorn
Xsa,13,21,black,Antipodean Opaleye
Vjoal,3,46,white,Chinese Fireball
Var,8,27,white,Hungarian Horntail
Hsoe,15,2,blue,Chinese Fireball
Fhrn,1,28,red,Swedish Short-Snout
Uheh,20,38,blue,Swedish Short-Snout
Cvefy,13,45,white,Chinese Fireball
Yjmt,2,59,blue,Swedish Short-Snout
Spjbhh,12,7,blue,Antipodean Opaleye
Jmoepoep,0,3,red,Norwegian Ridgeback
Kerka,10,73,blue,Common Welsh Green
Ianw,3,85,red,Common Welsh Green
Oefnab,18,42,white,Romanian Longhorn
Dfpfyrfm,10,56,blue,Norwegian Ridgeback
Wro,12,42,blue,Hungarian Horntail
Aawa,15,67,blue,Swedish Short-Snout
Uwilsyi,20,75,white,Common Welsh Green
Qhbrxjby,9,92,white,Hebridean Black
Gaqn,18,0,black,Romanian Longhorn
Vyvb,20,99,black,Common Welsh Green
Gnrdhh,8,21,red,Peruvian Vipertooth
Auyvi,3,37,white,Romanian Longhorn
Tmevksb,2,6,white,Swedish Short-Snout
Gcaws,4,99,white,Swedish Short-Snout
Fyghkkl,1,65,red,Romanian Longhorn
Jyytifns,14,56,black,Chinese Fireball
Mrs,12,88,white,Romanian Longhorn
Svd,0,6,white,Peruvian Vipertooth
Jub,0,59,white,Common Welsh Green
Rssllkrd,11,72,white,Norwegian Ridgeback
Fnd,7,42,black,Antipodean Opaleye
Hghnpat,20,5,white,Hungarian Horntail
Kgpgpyd,12,63,black,Antipodean Opaleye
Nwk,4,59,blue,Norwegian Ridgeback
Fscwmv,12,23,red,Antipodean Opaleye
Pinjj,1,95,white,Swedish Short-Snout
Didxk,18,47,blue,Swedish Short-Snout
Esaxvcwq,18,3,blue,Hebridean Black
Glf,18,2,white,Antipodean Opaleye
Fue,20,12,black,Norwegian Ridgeback
Raby,16,66,red,Ukrainian Ironbelly
Oktvslhd,5,68,black,Common Welsh Green
Ujjoxmy,14,7,white,Common Welsh Green
Jknmp,3,51,red,Peruvian Vipertooth
Dtbyba,17,78,blue,Chinese Fireball
Yraeksp,15,57,white,Romanian Longhorn
Mgmtiv,16,34,black,Hebridean Black
Ihvcw,1,38,blue,Antipodean Opaleye
Mhjsua,19,88,white,Hungarian Horntail
Cxhrn,20,69,black,Hebridean Black
Jlffvlvu,8,30,white,Romanian Longhorn
Olcwi,6,73,black,Chinese Fireball
Vngd,1,5,white,Norwegian Ridgeback
Pfyhrt,11,9,white,Hungarian Horntail
Kvpuxkt,2,56,blue,Hungarian Horntail
Jrpcqr,9,52,blue,Norwegian Ridgeback
Arqxom,15,21,blue,Norwegian Ridgeback
Paxpgc,2,49,white,Chinese Fireball
Uvjg,9,56,red,Hebridean Black
Ntathvov,15,7,red,Ukrainian Ironbelly
Ciyeppcp,3,44,white,Chinese Fireball
Irjbed,14,36,white,Norwegian Ridgeback
Apfk,10,28,white,Hungarian Horntail
Okfxafen,0,38,black,Hebridean Black
Qyvqlba,5,25,red,Antipodean Opaleye
Evou,16,36,blue,Romanian Longhorn
Gtxnura,12,55,black,Peruvian Vipertooth
Dpgh,5,99,black,Ukrainian Ironbelly
Hbssw,11,100,blue,Ukrainian Ironbelly
Eyjxvuap,10,96,black,Common Welsh Green
Mbos,4,5,black,Common Welsh Green
Drxbsjj,7,66,black,Common Welsh Green
Xlsa,8,60,black,Hungarian Horntail
Xngks,3,26,red,Chinese Fireball
Tthqr,5,60,red,Hungarian Horntail
Stqqwfy,5,96,white,Peruvian Vipertooth
Tpy,9,35,red,Peruvian Vipertooth
Yhxvjmrk,13,97,red,Ukrainian Ironbelly
Kqd,1,1,red,Hungarian Horntail
Lwbfjf,16,37,red,Antipodean Opaleye
Cyv,5,86,black,Swedish Short-Snout
Ifc,5,95,red,Peruvian Vipertooth
Ragdp,11,99,black,Antipodean Opaleye
Gmq,19,41,white,Romanian Longhorn
Gkwjlboy,13,68,red,Ukrainian Ironbelly
Ijihp,18,34,white,Hebridean Black
Exuxjb,11,17,red,Ukrainian Ironbelly
Authwy,6,75,red,Swedish Short-Snout
Mrte,1,74,blue,Romanian Longhorn
Rtu,4,71,black,Swedish Short-Snout
Qrn,7,6,red,Hungarian Horntail
Iejip,5,9,black,Peruvian Vipertooth
Biekvkp,4,73,blue,Hungarian Horntail
Lxcpo,16,59,red,Norwegian Ridgeback
Qmqbwh,4,59,black,Antipodean Opaleye
Eblcru,11,47,white,Hebridean Black
Dyrot,3,88,black,Norwegian Ridgeback
Bvojof,3,45,blue,Chinese Fireball
Nxmstqml,18,36,blue,Romanian Longhorn
Tesjqbj,16,2,white,Common Welsh Green
Mbyyo,1,47,red,Norwegian Ridgeback
Afa,11,36,white,Hebridean Black
Ttemd,6,91,white,Norwegian Ridgeback
Pgcyg,12,12,red,Swedish Short-Snout
Envfls,7,79,red,Ukrainian Ironbelly
Hvnhb,4,86,red,Peruvian Vipertooth
Ajfjgmw,17,100,black,Hebridean Black
Phiy,19,91,blue,Norwegian Ridgeback
Bgkdv,16,21,red,Swedish Short-Snout
Tjvgbuhn,7,8,red,Swedish Short-Snout
Vsuk,1,93,black,Hungarian Horntail
Stijnws,7,85,blue,Hebridean Black
Yydbmeb,19,42,red,Hebridean Black
Fhc,9,46,white,Ukrainian Ironbelly
Upqsmaov,0,5,red,Antipodean Opaleye
Tjslhy,20,92,white,Ukrainian Ironbelly
Hektfx,5,66,red,Hungarian Horntail
Qjveojmj,11,59,blue,Peruvian Vipertooth
Rmw,12,46,red,Romanian Longhorn
Urrwtl,10,13,blue,Hungarian Horntail
Dfvty,18,95,white,Hebridean Black
Afq,12,86,red,Common Welsh Green
Jkpcg,7,49,white,Romanian Longhorn
Hddxjslv,14,95,black,Common Welsh Green
Uwbwbtj,20,3,black,Common Welsh Green
Wbt,1,50,red,Hebridean Black
Imycc,8,55,white,Common Welsh Green
Tiwh,19,44,white,Hebridean Black
Psvfbdrh,1,80,black,Ukrainian Ironbelly
Wmpta,10,7,blue,Romanian Longhorn
Kitkabi,11,80,red,Norwegian Ridgeback
Dxucbu,14,77,white,Ukrainian Ironbelly
Rjecvv,10,38,black,Common Welsh Green
Gctguv,4,4,white,Hebridean Black
Esl,11,61,red,Hungarian Horntail
Raycgjha,12,76,white,Norwegian Ridgeback
Fwqvfo,1,23,red,Swedish Short-Snout
Mmxp,17,65,blue,Peruvian Vipertooth
Lhmwjjnd,20,94,red,Romanian Longhorn
Eppwojhv,2,39,white,Hebridean Black
Jrah,1,23,red,Norwegian Ridgeback
Wgsxfa,20,81,black,Antipodean Opaleye
Iybon,12,98,white,Common Welsh Green
Waxm,0,41,blue,Swedish Short-Snout
Rtqnbyn,7,2,black,Peruvian Vipertooth
Jxfji,4,53,white,Hungarian Horntail
Mhundydm,11,87,red,Ukrainian Ironbelly
Brovao,18,75,blue,Peruvian Vipertooth
Ylbb,19,23,black,Ukrainian Ironbelly
Fectquk,7,14,blue,Hungarian Horntail
Vnonub,0,35,black,Hebridean Black
Qmt,12,83,red,Hungarian Horntail
Lekgbpds,15,75,black,Peruvian Vipertooth
Vmiacphu,14,4,blue,Romanian Longhorn
Iynn,11,14,red,Romanian Longhorn
Vssbyl,19,79,white,Chinese Fireball
Jmgfxp,8,62,red,Peruvian Vipertooth
Jqmdb,5,26,black,Norwegian Ridgeback
Rnshtvp,4,63,black,Common Welsh Green
Rgpulpbw,13,97,blue,Antipodean Opaleye
Jlefpbir,6,65,red,Antipodean Opaleye
Rlupdx,8,85,blue,Ukrainian Ironbelly
Jfytaor,18,12,black,Romanian Longhorn
Akqthcu,6,23,red,Antipodean Opaleye
Xlkyvrw,13,74,blue,Norwegian Ridgeback
Nheidri,8,69,red,Chinese Fireball
Vblnh,11,0,blue,Hungarian Horntail
Pidtojv,17,97,black,Norwegian Ridgeback
Skxu,9,0,white,Common Welsh Green
Tjhjo,19,51,red,Hungarian Horntail
Pweog,20,69,blue,Swedish Short-Snout
Qjdswnwf,0,20,black,Hungarian Horntail
Qugi,15,30,white,Norwegian Ridgeback
Opbfm,10,95,white,Chinese Fireball
Ekibj,0,15,red,Romanian Longhorn
Vebrebg,11,32,red,Norwegian Ridgeback
Geso,13,76,white,Romanian Longhorn
Itww,4,88,blue,Chinese Fireball
Twudcbsp,7,69,red,Antipodean Opaleye
Tbk,14,30,red,Common Welsh Green
Aurshp,19,60,black,Ukrainian Ironbelly
Aqrv,0,88,red,Hebridean Black
Beykvtb,0,58,black,Hebridean Black
Irsixw,16,1,white,Chinese Fireball
Xgurl,11,78,red,Hebridean Black
Bxl,7,98,red,Hungarian Horntail
Sumydm,9,52,blue,Antipodean Opaleye
Elidbn,10,28,black,Romanian Longhorn
Ngfq,16,71,white,Norwegian Ridgeback
Eouac,8,88,black,Common Welsh Green
Aaymrhy,18,72,blue,Romanian Longhorn
Hcc,6,98,white,Antipodean Opaleye
Giq,2,80,black,Peruvian Vipertooth
Uwghdli,17,17,red,Peruvian Vipertooth
Qupuuoy,15,71,black,Chinese Fireball
Bmarlfap,6,66,blue,Ukrainian Ironbelly
Wyqqrhog,16,100,white,Norwegian Ridgeback
Knnvm,4,41,blue,Common Welsh Green
Yvk,12,72,white,Hungarian Horntail
Esl,20,17,white,Antipodean Opaleye
Olyng,2,62,black,Norwegian Ridgeback
Fdx,10,44,red,Peruvian Vipertooth
Rsvtrfa,17,19,blue,Ukrainian Ironbelly
Vevimif,19,62,red,Norwegian Ridgeback
Ntmqupek,1,84,red,Chinese Fireball
Hjchna,0,28,blue,Romanian Longhorn
Awmg,6,61,black,Hungarian Horntail
Vbfpubkf,13,17,red,Chinese Fireball
Lkcsb,1,50,black,Peruvian Vipertooth
Fwe,0,16,red,Peruvian Vipertooth
Cpntxwat,8,49,blue,Antipodean Opaleye
Ltpni,15,45,white,Hebridean Black
Bpftx,9,81,white,Hebridean Black
Bvwodpmo,11,15,black,Peruvian Vipertooth
Bosa,14,45,blue,Norwegian Ridgeback
Qilvfxo,17,51,red,Hebridean Black
Hkm,7,39,red,Chinese Fireball
Afaso,7,33,white,Chinese Fireball
Tdsixx,20,46,white,Antipodean Opaleye
Nloobby,20,94,blue,Hebridean Black
Fpqep,20,70,blue,Hungarian Horntail
Owyfl,14,84,black,Hebridean Black
Jrb,17,51,black,Chinese Fireball
Mmegbh,3,95,white,Hebridean Black
Nhhyey,17,23,black,Ukrainian Ironbelly
Csjcxl,11,21,white,Common Welsh Green
Trhe,6,95,blue,Antipodean Opaleye
Vha,10,90,black,Hungarian Horntail
Dqyda,13,99,black,Hebridean Black
Euj,19,14,black,Chinese Fireball
Wiwrl,1,40,white,Hungarian Horntail
Hxbwell,14,25,white,Peruvian Vipertooth
Bxlmqne,0,18,white,Chinese Fireball
Gnbii,18,72,black,Hebridean Black
Addjdgeh,6,14,blue,Peruvian Vipertooth
Hdjhtmg,19,27,black,Hungarian Horntail
Erw,13,57,black,Norwegian Ridgeback
Vsd,8,45,white,Peruvian Vipertooth
Nxh,9,52,blue,Ukrainian Ironbelly
Silajoid,14,73,white,Chinese Fireball
Frwjcuvq,13,11,red,Swedish Short-Snout
Woi,12,23,black,Ukrainian Ironbelly
Jlanmx,5,15,red,Romanian Longhorn
Ibpbm,7,54,black,Common Welsh Green
Cmtj,5,51,black,Peruvian Vipertooth
Jrce,17,28,blue,Norwegian Ridgeback
Qgwdfmge,20,23,white,Peruvian Vipertooth
Blangjt,6,5,black,Hebridean Black
Ccc,1,7,black,Chinese Fireball
Aghptdu,3,96,white,Romanian Longhorn
Vlvhxfu,9,48,white,Antipodean Opaleye
Ekjby,8,19,black,Chinese Fireball
Gii,4,26,blue,Norwegian Ridgeback
Dju,12,100,white,Hungarian Horntail
Vyvyruyv,14,1,black,Hebridean Black
Sud,5,95,white,Romanian Longhorn
